item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000,15.10,145.48,5.0
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0086,11.80,115.35,5.0
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0259,13.85,165.02,5.0
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.0423,12.15,126.50,5.0
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0340,19.60,55.16,5.0
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0055,8.89,102.40,5.0
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.0983,11.80,81.46,5.0
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0269,19.70,96.07,5.0
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0241,20.75,124.17,5.0
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0520,18.85,192.18,5.0
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1289,17.10,112.39,5.0
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0905,16.35,195.21,5.0
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0188,20.25,222.18,5.0
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1470,17.85,93.74,5.0
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0776,19.20,197.61,5.0
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0169,12.10,178.57,5.0
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0230,6.85,261.66,5.0
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0424,17.25,173.18,5.0
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0654,16.00,76.20,5.0
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1402,13.35,150.24,5.0
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0339,6.70,221.95,5.0
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0265,16.60,57.26,5.0
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1311,6.92,93.18,5.0
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0806,5.82,167.78,5.0
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0195,14.80,196.38,5.0
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0465,10.10,59.99,5.0
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.1847,7.67,35.42,5.0
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0253,15.60,174.31,5.0
low fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0379,9.31,61.65,5.0
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1218,11.80,46.84,5.0
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0380,13.15,88.69,5.0
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0575,16.25,126.20,5.0
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0853,13.85,119.61,5.0
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.1081,6.75,95.68,5.0
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0481,10.50,159.09,5.0
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1746,9.30,104.30,5.0
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.1060,20.75,150.57,5.0
